Αζερμπαϊτζάν,Μπακού,B,Asia/Baku
Γαλλία,Κουρμπεβουά,A,Europe/Paris
Γαλλία,Κρετέιγ,A,Europe/Paris
Γαλλία,Λα Ροσέλ,A,Europe/Paris
Γαλλία,Λε Μαν,A,Europe/Paris
Γαλλία,Λιλ,A,Europe/Paris
Γαλλία,Λιμόζ,A,Europe/Paris
Γαλλία,Λυών,A,Europe/Paris
Γαλλία,Μασσαλία,A,Europe/Paris
Γαλλία,Μετς,A,Europe/Paris
Γαλλία,Μονπελιέ,A,Europe/Paris
Γαλλία,Μοντρέιγ,A,Europe/Paris
Γαλλία,Μπεζανσόν,A,Europe/Paris
Γαλλία,Μπεζιέ,A,Europe/Paris
Γαλλία,Μπορντό,A,Europe/Paris
Γαλλία,Μπουλόν-Μπιγιανκούρ,A,Europe/Paris
Γαλλία,Μπουρζ,A,Europe/Paris
Γαλλία,Μυλούζ,A,Europe/Paris
Γαλλία,Νανσύ,A,Europe/Paris
Γαλλία,Ναντ,A,Europe/Paris
Γαλλία,Ναντέρ,A,Europe/Paris
Γαλλία,Νίκαια,A,Europe/Paris
Γαλλία,Νιμ,A,Europe/Paris
Γαλλία,Ντιζόν,A,Europe/Paris
Γαλλία,Ορλεάνη,A,Europe/Paris
Γαλλία,Παρίσι,A,Europe/Paris
Γαλλία,Περπινιάν,A,Europe/Paris
Γαλλία,Πουατιέ,A,Europe/Paris
Γαλλία,Πω,A,Europe/Paris
Γαλλία,Ρεν,A,Europe/Paris
Γαλλία,Ρενς,A,Europe/Paris
Γαλλία,Ρουέν,A,Europe/Paris
Γαλλία,Ρουμπαί,A,Europe/Paris
Γαλλία,Ρυέιγ-Μαλμαιζόν,A,Europe/Paris
Γαλλία,Σαιν-Μωρ-ντε-Φοσέ,A,Europe/Paris
Γαλλία,Σαιν-Ντενί,A,Europe/Paris
Γαλλία,Σαιν-Πιέρ,A,Europe/Paris
Γαλλία,Σαιν-Πολ,A,Europe/Paris
Γαλλία,Σαιντ-Ετιέν,A,Europe/Paris
Γαλλία,Σαμπινί-συρ-Μαρν,A,Europe/Paris
Γαλλία,Σοφία Αντίπολις,A,Europe/Paris
Γαλλία,Στρασβούργο,A,Europe/Paris
Γαλλία,Τουλόν,A,Europe/Paris
Γαλλία,Τουλούζη,A,Europe/Paris
Γαλλία,Τουρ,A,Europe/Paris
Γαλλία,Τουρκουάν,A,Europe/Paris
Γαλλία,Φορ-ντε-Φρανς,A,Europe/Paris
Γαλλία,Χάβρη,A,Europe/Paris
Γαλλία,Ωλναί-σου-Μπουά,A,Europe/Paris
Γαλλία,Ωμπερβιλιέ,A,Europe/Paris
Γαλλική Γουιάνα,Καγιέν,C,America/Cayenne
Γερμανία,Eichstaett,A,Europe/Berlin
Γερμανία,Julich,A,Europe/Berlin
Γερμανία,Άαχεν,A,Europe/Berlin
Γερμανία,Αμβούργο,A,Europe/Berlin
Γερμανία,Αννόβερο,A,Europe/Berlin
Γερμανία,Άουγκσμπουργκ,A,Europe/Berlin
Γερμανία,Bad Herrenalb,A,Europe/Berlin
Γερμανία,Βερολίνο,A,Europe/Berlin
Γερμανία,Βισμπάντεν,A,Europe/Berlin
Γερμανία,Βόννη,A,Europe/Berlin
Γερμανία,Βούπερταλ,A,Europe/Berlin
Γερμανία,Βρέμη,A,Europe/Berlin
Γερμανία,Βύρτσμπουργκ,A,Europe/Berlin
Γερμανία,Γκελζενκίρχεν,A,Europe/Berlin
Γερμανία,Γκέτιγκεν,A,Europe/Berlin
Γερμανία,Δρέσδη,A,Europe/Berlin
Γερμανία,Έρφουρτ,A,Europe/Berlin
Γερμανία,Έσσεν,A,Europe/Berlin
Γερμανία,Ζόλινγκεν,A,Europe/Berlin
Γερμανία,Ίνγκολστατ,A,Europe/Berlin
Γερμανία,Καρλσρούη,A,Europe/Berlin
Γερμανία,Κάσσελ,A,Europe/Berlin
Γερμανία,Κέμνιτς,A,Europe/Berlin
Γερμανία,Κίελο,A,Europe/Berlin
Γερμανία,Κολωνία,A,Europe/Berlin
Γερμανία,Κρέφελντ,A,Europe/Berlin
Γερμανία,Λεβερκούζεν,A,Europe/Berlin
Γερμανία,Λειψία,A,Europe/Berlin
Γερμανία,Λουντβιχσχάφεν,A,Europe/Berlin
Γερμανία,Λύμπεκ,A,Europe/Berlin
Γερμανία,Μαγδεβούργο,A,Europe/Berlin
Γερμανία,Μάιντς,A,Europe/Berlin
Γερμανία,Μάνχαϊμ,A,Europe/Berlin
Γερμανία,Μενχενγκλάντμπαχ,A,Europe/Berlin
Γερμανία,Μίνστερ,A,Europe/Berlin
Γερμανία,Μόναχο,A,Europe/Berlin
Γερμανία,Μπαϊρόιτ,A,Europe/Berlin
Γερμανία,Μπίλεφελντ,A,Europe/Berlin
Γερμανία,Μπόχουμ,A,Europe/Berlin
Γερμανία,Μπράουνσβαϊγκ,A,Europe/Berlin
Γερμανία,Μύλχαϊμ αν ντερ Ρουρ,A,Europe/Berlin
Γερμανία,Νόις,A,Europe/Berlin
Γερμανία,Ντάρμσταντ,A,Europe/Berlin
Γερμανία,Ντίσελντορφ,A,Europe/Berlin
Γερμανία,Ντόρτμουντ,A,Europe/Berlin
Γερμανία,Ντούισμπουργκ,A,Europe/Berlin
Γερμανία,Νυρεμβέργη,A,Europe/Berlin
Γερμανία,Ντύρεν,A,Europe/Berlin
Γερμανία,Όλντενμπουργκ,A,Europe/Berlin
Γερμανία,Ομπερχάουζεν,A,Europe/Berlin
Γερμανία,Όσναμπρικ,A,Europe/Berlin
Γερμανία,Παντερμπόρν,A,Europe/Berlin
Γερμανία,Πότσδαμ,A,Europe/Berlin
Γερμανία,Ρέγκενσμπουργκ,A,Europe/Berlin
Γερμανία,Ρόστοκ,A,Europe/Berlin
Γερμανία,Σααρμπρύκεν,A,Europe/Berlin
Γερμανία,Στουτγκάρδη,A,Europe/Berlin
Γερμανία,Φράιμπουργκ,A,Europe/Berlin
Γερμανία,Φρανκφούρτη,A,Europe/Berlin
Γερμανία,Χάγκεν,A,Europe/Berlin
Γερμανία,Χαϊδελβέργη,A,Europe/Berlin
Γερμανία,Χαϊλμπρόν,A,Europe/Berlin
Γερμανία,Χάλλε (Ζάαλε)1,A,Europe/Berlin
Γερμανία,Χαμ,A,Europe/Berlin
Γερμανία,Χέρνε,A,Europe/Berlin
Γεωργία,Τυφλίδα,C,Asia/Tbilisi
Δανία,Hvidovre,A,Europe/Copenhagen
Δανία,Lyngby-Taarbaeka,A,Europe/Copenhagen
Δανία,Vejle,A,Europe/Copenhagen
Δανία,Άλμποργκ,A,Europe/Copenhagen
Δανία,Γκεντόφτε,A,Europe/Copenhagen
Δανία,Γκλαντσάξε,A,Europe/Copenhagen
Δανία,Έσμπιεργκ,A,Europe/Copenhagen
Δανία,Κόλντινγκ,A,Europe/Copenhagen
Δανία,Κοπεγχάγη,A,Europe/Copenhagen
Δανία,Λίνγκμπι,A,Europe/Copenhagen
Δανία,Όντενσε,A,Europe/Copenhagen
Δανία,Ράντερς,A,Europe/Copenhagen
Δανία,Φρέντερικσμπεργκ,A,Europe/Copenhagen
Δανία,Χόρσενς,A,Europe/Copenhagen
Δανία,Ώρχους,A,Europe/Copenhagen
Ελβετία,Βέρνη,A,Europe/Zurich
Ελβετία,Γενεύη,A,Europe/Zurich
Ελβετία,Ζυρίχη,A,Europe/Zurich
Ελβετία,Λουγκάνο,A,Europe/Zurich
Ελβετία,Λωζάνη,A,Europe/Zurich
Ελβετία,Mendrisio,A,Europe/Zurich
Ελλάδα,Αθήνα,A,Europe/Athens
Ελλάδα,Θεσσαλονίκη,A,Europe/Athens
Εσθονία,Ταλίν,B,Europe/Tallinn
Εσθονία,Τάρτου,B,Europe/Tallinn
Η.Π.Α.,Salt Lake City-Γιούτα,A,America/Denver
Η.Π.Α.,ʼΑρλινγκτον-Βιρτζίνια,A,America/New_York
Η.Π.Α.,Ατλάντα-Γεωργία,A,America/New_York
Η.Π.Α.,Βαλτιμόρη-Μέριλαντ,A,America/New_York
Η.Π.Α.,Βοστώνη,A,America/New_York
Η.Π.Α.,Κλερμόντ-Φλόριδα,A,America/New_York
Η.Π.Α.,Λας Βέγκας-Νεβάδα,A,America/Los_Angeles
Η.Π.Α.,Μπέρκλεϋ-Καλιφόρνια,A,America/Los_Angeles
Η.Π.Α.,Νέα Ορλεάνη,A,America/Chicago
Η.Π.Α.,Νιου Χέιβεν-Κονέκτικατ,A,America/New_York
Η.Π.Α.,Ντάλας-Τέξας,A,America/Chicago
Η.Π.Α.,Ντένβερ-Κολοράντο,A,America/Denver
Η.Π.Α.,Όστιν-Τέξας,A,America/Chicago
Η.Π.Α.,Ουάσινγκτον,A,America/New_York
Η.Π.Α.,Πόρτλαντ-Όρεγκον,A,America/Los_Angeles
Η.Π.Α.,Ρίνο-Νεβάδα,A,America/Los_Angeles
Η.Π.Α.,Σαν Ντιέγκο-Καλιφόρνια,A,America/Los_Angeles
Η.Π.Α.,Σαν Φρανσίσκο-Καλιφόρνια,A,America/Los_Angeles
Η.Π.Α.,Σαν Χοσέ-Καλιφόρνια,A,America/Los_Angeles
Η.Π.Α.,Σιάτλ-Ουάσινγκτον,A,America/Los_Angeles
Η.Π.Α.,Σικάγο,A,America/Chicago
Η.Π.Α.,Τάμπα-Φλόριντα,A,America/New_York
Η.Π.Α.,Τσάπελ Χιλ-Βόρεια Καρολίνα,A,America/New_York
Η.Π.Α.,Φιλαδέλφεια-Πενσυλβάνια,A,America/New_York
Ηνωμένα Αραβικά Εμιράτα,Ντουμπάι,A,Asia/Dubai
Ηνωμένο Βασίλειο,Culham,A,Europe/London
Ηνωμένο Βασίλειο,Daresbury,A,Europe/London
Ηνωμένο Βασίλειο,Αμπερντήν,A,Europe/London
Ηνωμένο Βασίλειο,ʼΑμπινγκτον,A,Europe/London
Ηνωμένο Βασίλειο,Γιόρκ,A,Europe/London
Ηνωμένο Βασίλειο,Γλασκώβη,A,Europe/London
Ηνωμένο Βασίλειο,Γουέστ Μπρόμγουιτς,A,Europe/London
Ηνωμένο Βασίλειο,Γουλβερχάμπτον,A,Europe/London
Ηνωμένο Βασίλειο,Γουόλσολ,A,Europe/London
Ηνωμένο Βασίλειο,Εδιμβούργο,A,Europe/London
Ηνωμένο Βασίλειο,Ίπσουιτς,A,Europe/London
Ηνωμένο Βασίλειο,Κάρντιφ,A,Europe/London
Ηνωμένο Βασίλειο,Κέιμπριτζ,A,Europe/London
Ηνωμένο Βασίλειο,Κίνγκστον απόν Χαλ,A,Europe/London
Ηνωμένο Βασίλειο,Κόβεντρυ,A,Europe/London
Ηνωμένο Βασίλειο,Κόλτσεστερ,A,Europe/London
Ηνωμένο Βασίλειο,Λέστερ,A,Europe/London
Ηνωμένο Βασίλειο,Ληντς,A,Europe/London
Ηνωμένο Βασίλειο,Λίβερπουλ,A,Europe/London
Ηνωμένο Βασίλειο,Λονδίνο,A,Europe/London
Ηνωμένο Βασίλειο,Λούτον,A,Europe/London
Ηνωμένο Βασίλειο,Μάντσεστερ,A,Europe/London
Ηνωμένο Βασίλειο,Μίλτον Κέινς,A,Europe/London
Ηνωμένο Βασίλειο,Μίντλεσμπρο,A,Europe/London
Ηνωμένο Βασίλειο,Μπέλφαστ,A,Europe/London
Ηνωμένο Βασίλειο,Μπέρμιγχαμ,A,Europe/London
Ηνωμένο Βασίλειο,Μπλάκπουλ,A,Europe/London
Ηνωμένο Βασίλειο,Μπόλτον,A,Europe/London
Ηνωμένο Βασίλειο,Μπόρνμουθ,A,Europe/London
Ηνωμένο Βασίλειο,Μπράιτον,A,Europe/London
Ηνωμένο Βασίλειο,Μπράντφορντ,A,Europe/London
Ηνωμένο Βασίλειο,Μπρίστολ,A,Europe/London
Ηνωμένο Βασίλειο,Νιούκασλ,A,Europe/London
Ηνωμένο Βασίλειο,Νόργουιτς,A,Europe/London
Ηνωμένο Βασίλειο,Νορθάμπτον,A,Europe/London
Ηνωμένο Βασίλειο,Νότιγχαμ,A,Europe/London
Ηνωμένο Βασίλειο,Νταντή,A,Europe/London
Ηνωμένο Βασίλειο,Ντάντλεϊ,A,Europe/London
Ηνωμένο Βασίλειο,Ντέρμπι,A,Europe/London
Ηνωμένο Βασίλειο,Όλντμπερι,A,Europe/London
Ηνωμένο Βασίλειο,Οξφόρδη,A,Europe/London
Ηνωμένο Βασίλειο,Πίτερμπορο,A,Europe/London
Ηνωμένο Βασίλειο,Πλίμουθ,A,Europe/London
Ηνωμένο Βασίλειο,Πόρτσμουθ,A,Europe/London
Ηνωμένο Βασίλειο,Πουλ,A,Europe/London
Ηνωμένο Βασίλειο,Πρέστον,A,Europe/London
Ηνωμένο Βασίλειο,Ρέντινγκ,A,Europe/London
Ηνωμένο Βασίλειο,Σάντερλαντ,A,Europe/London
Ηνωμένο Βασίλειο,Σαουθάμπτον,A,Europe/London
Ηνωμένο Βασίλειο,Σάουθεντ-ον-Ση,A,Europe/London
Ηνωμένο Βασίλειο,Σέφιλντ,A,Europe/London
Ηνωμένο Βασίλειο,Σουίντον,A,Europe/London
Ηνωμένο Βασίλειο,Σουόνσι,A,Europe/London
Ηνωμένο Βασίλειο,Στόκπορτ,A,Europe/London
Ηνωμένο Βασίλειο,Στόουκ ον Τρεντ,A,Europe/London
Ηνωμένο Βασίλειο,Χάντερσφιλντ,A,Europe/London
Ιαπωνία,Τόκιο,A,Asia/Tokyo
Ινδία,Guwahati,C,Asia/Kolkata
Ινδία,Βομβάη,C,Asia/Kolkata
Ινδία,Μπανγκαλόρ,C,Asia/Kolkata
Ινδία,Νέο Δελχί,C,Asia/Kolkata
Ινδία,Χιντεραμπάντ,C,Asia/Kolkata
Ιορδανία,Αμμάν,C,Asia/Amman
Ιρλανδία,Γκάλγουεϊ,A,Europe/Dublin
Ιρλανδία,Δουβλίνο,A,Europe/Dublin
Ιρλανδία,Κορκ,A,Europe/Dublin
Ισλανδία,Ρέικγιαβικ,A,Europe/Dublin
Ισπανία,Α Κορούνια,A,Europe/Madrid
Ισπανία,Αλικάντε,A,Europe/Madrid
Ισπανία,Αλκαλά ντε Ενάρες,A,Europe/Madrid
Ισπανία,Αλκορκόν,A,Europe/Madrid
Ισπανία,Αλμερία,A,Europe/Madrid
Ισπανία,Αλμπαθέτε,A,Europe/Madrid
Ισπανία,Βαγιαδολίδ,A,Europe/Madrid
Ισπανία,Βαλένθια,A,Europe/Madrid
Ισπανία,Βαρκελώνη,A,Europe/Madrid
Ισπανία,Βίγο,A,Europe/Madrid
Ισπανία,Βιτόρια-Γκαστέις,A,Europe/Madrid
Ισπανία,Γρανάδα,A,Europe/Madrid
Ισπανία,Έλτσε,A,Europe/Madrid
Ισπανία,Κάδιθ,A,Europe/Madrid
Ισπανία,Καρταγένα,A,Europe/Madrid
Ισπανία,Καστεγιόν δε λα Πλάνα,A,Europe/Madrid
Ισπανία,Κόρδοβα,A,Europe/Madrid
Ισπανία,Λας Πάλμας ντε Γκραν Κανάρια,A,Atlantic/Canary
Ισπανία,Λεγανές,A,Europe/Madrid
Ισπανία,Λεόν,A,Europe/Madrid
Ισπανία,Λιέιδα,A,Europe/Madrid
Ισπανία,Λογρόνιο,A,Europe/Madrid
Ισπανία,Μαδρίτη,A,Europe/Madrid
Ισπανία,Μάλαγα,A,Europe/Madrid
Ισπανία,Μαρβέγια,A,Europe/Madrid
Ισπανία,Μόστολες,A,Europe/Madrid
Ισπανία,Μούρθια,A,Europe/Madrid
Ισπανία,Μπαδαλόνα,A,Europe/Madrid
Ισπανία,Μπαδαχόθ,A,Europe/Madrid
Ισπανία,Μπιλμπάο,A,Europe/Madrid
Ισπανία,Μπούργος,A,Europe/Madrid
Ισπανία,Οβιέδο,A,Europe/Madrid
Ισπανία,Οσπιταλέτ ντε Λιοβρεγάτ,A,Europe/Madrid
Ισπανία,Ουέλβα,A,Europe/Madrid
Ισπανία,Πάλμα ντε Μαγιόρκα,A,Europe/Madrid
Ισπανία,Παμπλόνα,A,Europe/Madrid
Ισπανία,Σαβαδέλ,A,Europe/Madrid
Ισπανία,Σαλαμάνκα,A,Europe/Madrid
Ισπανία,Σαν Κριστόμπαλ ντε Λα Λαγούνα,A,Europe/Madrid
Ισπανία,Σαν Σεμπαστιάν,A,Europe/Madrid
Ισπανία,Σάντα Κρουθ ντε Τενερίφε,A,Atlantic/Canary
Ισπανία,Σανταντέρ,A,Europe/Madrid
Ισπανία,Σαντιάγκο Ντε Κομποστέλα,A,Europe/Madrid
Ισπανία,Σαραγόσα,A,Europe/Madrid
Ισπανία,Σεβίλλη,A,Europe/Madrid
Ισπανία,Ταρραγόνα,A,Europe/Madrid
Ισπανία,Τενερίφη,A,Atlantic/Canary
Ισπανία,Τεράσα,A,Europe/Madrid
Ισπανία,Φουενλαμπράδα,A,Europe/Madrid
Ισπανία,Χερέθ ντε λα Φροντέρα,A,Europe/Madrid
Ισπανία,Χετάφε,A,Europe/Madrid
Ισπανία,Χιχόν,A,Europe/Madrid
Ισραήλ,Ιερουσαλήμ,A,Asia/Jerusalem
Ισραήλ,Τελ Αβίβ,A,Asia/Jerusalem
Ισραήλ,Χάιφα,A,Asia/Jerusalem
Ιταλία,Legnaro,A,Europe/Rome
Ιταλία,Polenzo,A,Europe/Rome
Ιταλία,Αλγκέρο,A,Europe/Rome
Ιταλία,Βενετία,A,Europe/Rome
Ιταλία,Γένοβα,A,Europe/Rome
Ιταλία,Ιβρέα,A,Europe/Rome
Ιταλία,Κατάνια,A,Europe/Rome
Ιταλία,Ματέρα,A,Europe/Rome
Ιταλία,Μιλάνο,A,Europe/Rome
Ιταλία,Μπάρι,A,Europe/Rome
Ιταλία,Μπολόνια,A,Europe/Rome
Ιταλία,Νάπολη,A,Europe/Rome
Ιταλία,Παβία,A,Europe/Rome
Ιταλία,Παλέρμο,A,Europe/Rome
Ιταλία,Πάντοβα,A,Europe/Rome
Ιταλία,Πίζα,A,Europe/Rome
Ιταλία,Ρώμη,A,Europe/Rome
Ιταλία,Σάντα Μαργκερίτα Λιγκούρε,A,Europe/Rome
Ιταλία,Τεργέστη,A,Europe/Rome
Ιταλία,Τορίνο,A,Europe/Rome
Ιταλία,Φλωρεντία,A,Europe/Rome
Ιταλία,Φρασκάτι,A,Europe/Rome
Καζακστάν,Αλμάτι,B,Asia/Almaty
Καναδάς,Βανκούβερ,A,America/Vancouver
Καναδάς,Οττάβα,A,America/Toronto
Κένυα,Ναϊρόμπι,B,Africa/Nairobi
Κίνα,Πεκίνο,B,Asia/Shanghai
Κολομβία,Μποκοτά,C,America/Bogota
Κροατία,Ζάγκρεμπ,A,Europe/Zagreb
Κροατία,Ζαντάρ,A,Europe/Zagreb
Κροατία,Ντουμπρόβνικ,A,Europe/Zagreb
Κροατία,Οπατία,A,Europe/Zagreb
Κροατία,Όσιγιεκ,A,Europe/Zagreb
Κροατία,Πούλα,A,Europe/Zagreb
Κροατία,Ριγέκα,A,Europe/Zagreb
Κροατία,Σλαβόνσκι Μπροντ,A,Europe/Zagreb
Κροατία,Σπλιτ,A,Europe/Zagreb
Κύπρος,Λάρνακα,A,Asia/Nicosia
Κύπρος,Λεμεσός,A,Asia/Nicosia
Κύπρος,Λευκωσία,A,Asia/Nicosia
Κύπρος,Πάφος,A,Asia/Nicosia
Λετονία,Ρίγα,B,Europe/Riga
Λιθουανία,Βίλνιους,B,Europe/Vilnius
Λιθουανία,Κάουνας,B,Europe/Vilnius
Λουξεμβούργο,Λουξεμβούργο,A,Europe/Luxembourg
Μαλάουι,Λιλόνγκουε,C,Africa/Blantyre
Μάλτα,Βαλέτα,A,Europe/Malta
Μαρόκο,Καζαμπλάνκα,B,Africa/Casablanca
Μαρόκο,Μαρακές,B,Africa/Casablanca
Μαυροβούνιο,Ποντγκόριτσα,C,Europe/Podgorica
Μεξικό,Κανκούν,B,America/Cancun
Μεξικό,Μεξικό,B,America/Mexico_City
Μοζαμβίκη,Μαπούτο,B,Africa/Maputo
Μολδαβία,Κισινάου,C,Europe/Chisinau
Μπενίν,Πόρτο Νόβο,C,Africa/Lagos
Νιγηρία,Αμπούτζα,C,Africa/Lagos
Νορβηγία,Κρίστιανσαντ,A,Europe/Oslo
Νορβηγία,Μπέργκεν,A,Europe/Oslo
Νορβηγία,Ντράμεν,A,Europe/Oslo
Νορβηγία,Όσλο,A,Europe/Oslo
Νορβηγία,Σβάρμπαλντ,A,Europe/Oslo
Νορβηγία,Σίεν,A,Europe/Oslo
Νορβηγία,Στάβανγκερ,A,Europe/Oslo
Νορβηγία,Τένσμπεργκ,A,Europe/Oslo
Νορβηγία,Τρόμσε,A,Europe/Oslo
Νορβηγία,Τρόντχαϊμ,A,Europe/Oslo
Νορβηγία,Φρέντρικσταντ,A,Europe/Oslo
Νορβηγία,Ώλεσουντ,A,Europe/Oslo
Νότιος Αφρική,Γιοχάνεσμπουργκ,C,Africa/Johannesburg
Νότιος Αφρική,Κέιπ Τάουν,C,Africa/Johannesburg
Νότιος Αφρική,Πρετόρια,C,Africa/Johannesburg
Ολλανδία,Noordwijk,A,Europe/Amsterdam
Ολλανδία,Αϊντχόφεν,A,Europe/Amsterdam
Ολλανδία,Άλκμααρ,A,Europe/Amsterdam
Ολλανδία,Άλμελο,A,Europe/Amsterdam
Ολλανδία,Αλμέρε,A,Europe/Amsterdam
Ολλανδία,Άλφεν αν ντεν Ράιν,A,Europe/Amsterdam
Ολλανδία,Αμερσφόρτ,A,Europe/Amsterdam
Ολλανδία,Άμστερνταμ,A,Europe/Amsterdam
Ολλανδία,Άπελντοορν,A,Europe/Amsterdam
Ολλανδία,Άρνεμ,A,Europe/Amsterdam
Ολλανδία,Άσσεν,A,Europe/Amsterdam
Ολλανδία,Ζεεβόλντε,A,Europe/Amsterdam
Ολλανδία,Λέιντεν,A,Europe/Amsterdam
Ολλανδία,Λέλυσταντ,A,Europe/Amsterdam
Ολλανδία,Μάαστριχτ,A,Europe/Amsterdam
Ολλανδία,Μίντελμπουρχ,A,Europe/Amsterdam
Ολλανδία,Μπέρχεν,A,Europe/Amsterdam
Ολλανδία,Μπρέντα,A,Europe/Amsterdam
Ολλανδία,Ναϊμέχεν,A,Europe/Amsterdam
Ολλανδία,Ντε Μπιλτ,A,Europe/Amsterdam
Ολλανδία,Ντελφτ,A,Europe/Amsterdam
Ολλανδία,Ντεν Μπος,A,Europe/Amsterdam
Ολλανδία,Ντεν Χέλντερ,A,Europe/Amsterdam
Ολλανδία,Ντόρντρεχτ,A,Europe/Amsterdam
Ολλανδία,Ουτρέχτη,A,Europe/Amsterdam
Ολλανδία,Ρόττερνταμ,A,Europe/Amsterdam
Ολλανδία,Φένλο,A,Europe/Amsterdam
Ολλανδία,Χάαρλεμ,A,Europe/Amsterdam
Ολλανδία,Χάγη,A,Europe/Amsterdam
Ολλανδία,Χάουντα,A,Europe/Amsterdam
Ολλανδία,Χόρινχεμ,A,Europe/Amsterdam
Ολλανδία,Χους,A,Europe/Amsterdam
Ολλανδία,Χρόνινγκεν,A,Europe/Amsterdam
Ομάν,Μουσκάτ,B,Asia/Muscat
Ουγγαρία,Βουδαπέστη,B,Europe/Budapest
Ουγγαρία,Γκιούρ,B,Europe/Budapest
Ουγγαρία,Κέτσκεμετ,B,Europe/Budapest
Ουγγαρία,Μίσκολτς,B,Europe/Budapest
Ουγγαρία,Νίρεγκχαζα,B,Europe/Budapest
Ουγγαρία,Ντέμπρετσεν,B,Europe/Budapest
Ουγγαρία,Πετς,B,Europe/Budapest
Ουγγαρία,Σέγκεντ,B,Europe/Budapest
Ουκρανία,Κίεβο,C,Europe/Kiev
Π.Γ.Δ.Μ.,Μπίτολα,C,Europe/Skopje
Π.Γ.Δ.Μ.,Οχρίδα,C,Europe/Skopje
Π.Γ.Δ.Μ.,Σκόπια,C,Europe/Skopje
Περού,Λίμα,B,America/Lima
Πολωνία,Βαρσοβία,A,Europe/Warsaw
Πολωνία,Βρότσλαβ,A,Europe/Warsaw
Πολωνία,Γκντανσκ,A,Europe/Warsaw
Πολωνία,Κρακοβία,A,Europe/Warsaw
Πολωνία,Πόζναν,A,Europe/Warsaw
Πορτογαλία,Vilamoura,A,Europe/Lisbon
Πορτογαλία,Λισαβόνα,A,Europe/Lisbon
Πορτογαλία,Πόρτο,A,Europe/Lisbon
Ρουάντα,Κιγκάλι,B,Africa/Kigali
